date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-03-13,20.314117,11.979584,882.1225,-2.9079971,-0.8541832,16.942595,58.767147,3.030854,0.0
1990-03-14,20.650818,14.330261,882.6916,-2.922371,-0.6808739,22.899807,67.10303,3.0006402,0.659
1990-03-15,20.366364,14.792053,882.21545,-2.5841217,-0.5503044,26.637844,70.356964,2.6420674,0.352
1990-03-16,21.279572,14.9079895,881.7753,-2.8551788,-0.3346367,24.754086,67.01147,2.8747222,0.137
1990-03-17,21.248474,13.643646,881.2903,-2.3681946,-0.2705078,22.594776,61.866116,2.383594,0.2
1990-03-18,21.97992,15.001007,881.15216,-2.0513878,-0.6289635,22.097084,64.58764,2.1456437,0.196
1990-03-19,21.939484,15.818634,881.365,-2.3583488,-0.8642082,27.209091,68.23267,2.5117056,0.975
1990-03-20,21.166962,16.87558,881.42377,-2.2534409,-0.5028763,29.283623,76.514725,2.3088698,19.764
1990-03-21,21.068756,17.700104,881.16046,-1.9656563,-0.5309906,32.543015,81.09551,2.036113,8.26
1990-03-22,21.486023,17.192474,880.1792,-2.0253716,-0.060317993,32.720127,76.55401,2.0262694,0.958
1990-03-23,22.024384,17.417755,880.5531,-2.1496048,-0.76340103,32.85994,75.13936,2.2811363,0.515
1990-03-24,21.249908,17.62799,881.6891,-1.3072014,0.5467148,36.166283,79.8353,1.4169236,1.342
1990-03-25,21.323578,18.163788,880.4508,-1.4512024,0.59480286,35.287174,82.20017,1.5683683,4.366
1990-03-26,21.957489,17.566498,879.2463,-0.94862366,-0.4112625,34.100533,76.15806,1.033936,0.644
1990-03-27,21.30716,17.602448,879.7622,-1.5583992,0.17065048,34.87592,79.42751,1.5677148,19.996
1990-03-28,20.764374,17.656525,879.3198,-2.0135765,0.09075546,34.608097,82.4008,2.0156207,11.021
1990-03-29,20.26706,17.928833,879.8203,-3.6311455,0.56492233,34.55982,86.4364,3.6748273,36.742
1990-03-30,19.798676,17.518097,881.618,-3.7662964,0.036140442,35.266674,86.70614,3.7664697,16.528
1990-03-31,19.755798,16.743439,882.83844,-3.2568321,-1.0404816,34.48036,82.77783,3.4189994,1.311
1990-04-01,21.290283,17.633575,880.9255,-2.1755142,-0.6704712,30.243855,79.66593,2.276487,0.446
1990-04-02,21.552826,17.22461,878.9305,-1.4856758,-0.9133301,29.682236,76.39679,1.7439623,0.387
1990-04-03,19.81717,17.754425,880.7525,-2.604416,-0.5662384,35.063152,87.90668,2.6652596,21.519
1990-04-04,20.600342,18.146881,883.0767,-3.0361137,-0.6878433,35.21705,85.84523,3.1130557,8.509
1990-04-05,20.073822,16.634705,882.41095,-2.1276474,-0.42897034,33.883434,80.604515,2.1704607,0.169
1990-04-06,20.559235,16.805206,880.39954,-1.1725578,-0.46103668,34.26604,79.07514,1.2599392,1.248
1990-04-07,20.915375,17.660736,880.7022,-2.180439,-0.12680054,32.434235,81.66058,2.1841228,16.964
1990-04-08,20.6716,17.757996,882.58295,-2.5626373,0.46105576,31.9062,83.40437,2.6037824,11.361
1990-04-09,20.031403,16.149597,882.0156,-2.4204025,0.76555634,24.579184,78.359344,2.538587,0.828
1990-04-10,19.132233,13.963898,880.90533,-2.2018394,1.8350868,15.806043,71.99507,2.866294,0.076
1990-04-11,19.0383,13.3533325,881.60065,-2.1922646,0.6994896,17.108416,69.599884,2.301154,0.607
1990-04-12,19.249298,12.912384,881.23267,-1.4519386,-0.06548309,16.69197,66.74183,1.4534144,0.055
1990-04-13,19.59848,13.078217,880.6942,-1.5577698,-0.6461258,17.126925,66.01982,1.6864535,0.0
1990-04-14,19.577576,13.136902,880.9922,-1.9816818,-0.26734924,21.846195,66.35935,1.9996345,0.395
1990-04-15,19.847687,14.333588,881.08295,-1.9255219,0.82774353,20.674309,70.5324,2.0958993,0.485
1990-04-16,19.703705,12.408905,881.1838,-2.3726082,1.6531181,18.781923,62.777798,2.8917243,0.008
1990-04-17,18.078766,12.306763,880.9675,-2.9987679,1.6200256,19.792768,69.016716,3.4083855,0.804
1990-04-18,18.443542,13.641693,880.6984,-2.1759758,0.37347794,22.050484,73.60466,2.2077944,1.041
1990-04-19,19.278442,14.11734,881.178,-2.4030037,0.07516098,21.66494,72.055466,2.4041789,1.27
1990-04-20,19.036652,14.370117,882.28174,-3.4019852,-0.056446075,22.072128,74.35563,3.4024534,1.428
1990-04-21,19.200104,14.834961,882.2598,-3.3725052,-0.10774231,23.862923,75.84328,3.3742259,2.202
1990-04-22,19.597473,14.778351,881.2728,-2.7099152,-0.4492874,23.516125,73.72245,2.7469072,0.807
1990-04-23,20.200592,14.7760315,880.78394,-2.2284317,-0.42771912,22.776001,71.00781,2.269108,0.288
1990-04-24,19.968414,14.067383,880.0261,-2.3897781,0.010822296,21.083832,68.81081,2.3898027,0.266
1990-04-25,20.64206,14.318024,878.58954,-1.9929161,-1.1402435,20.951035,67.08612,2.2960553,0.602
1990-04-26,21.086212,15.541077,877.38794,-0.7154312,-1.0563622,25.42559,70.62508,1.2758303,0.413
1990-04-27,21.44107,16.004639,878.345,-1.6516724,-0.18032074,28.845737,71.184135,1.6614864,0.725
1990-04-28,21.225922,16.000824,879.3137,-1.4045258,-1.2736435,30.870823,72.111404,1.8960117,2.369
1990-04-29,20.560822,17.066803,878.2722,0.15145874,-1.2740936,32.481384,80.38923,1.2830645,11.893
1990-04-30,20.62967,16.05719,877.8653,-0.16456985,0.3751564,29.787174,75.0733,0.4096652,6.2
1990-05-01,20.57965,14.26358,877.4983,-0.96372986,0.3713112,28.548313,67.10786,1.0327861,0.148
1990-05-02,20.188904,11.135468,878.5078,-0.36832047,0.60959625,18.862991,56.010384,0.7122272,0.0
1990-05-03,19.605347,9.048309,878.87,-1.0576363,0.39286566,11.661112,50.509476,1.1282455,0.0
1990-05-04,19.385956,7.4425964,879.72144,-1.6370049,0.27617764,11.820492,45.91843,1.6601382,0.0
1990-05-05,19.695648,10.768616,880.9358,-1.9638901,0.44821167,18.133282,56.35829,2.0143876,0.392
